,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Fwd IAT Total,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Bytes,Subflow Bwd Bytes,Init Fwd Win Bytes,Label
3125452,33,117.0,33,33.0,0.0,117,117.0,0.0,0.0,117,61.0,48.49742,2352.0,91.5,33.0,117.0,33,117,-1,0
1179489,249,7496.0,249,41.5,101.653824,1460,937.0,724.3385,38805.0,1460,516.3333,694.8492,482815.38,553.2143,41.5,937.0,249,7496,8192,0
2556841,45,82.0,45,45.0,0.0,82,82.0,0.0,0.0,82,57.333332,21.36196,456.33334,86.0,45.0,82.0,45,82,-1,0
2583564,0,0.0,0,0.0,0.0,0,0.0,0.0,9065686.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8192,0
3386070,1530,7881.0,997,153.0,318.56693,1460,562.9286,670.97314,124199.0,1460,376.44,573.5083,328911.75,392.125,153.0,562.9286,1530,7881,8192,0
2952438,88,212.0,44,44.0,0.0,106,106.0,0.0,42757.0,106,68.8,33.958797,1153.2,86.0,44.0,106.0,88,212,-1,0
515490,249,9440.0,249,49.8,111.356186,1460,1048.8889,647.1562,68800000.0,1460,645.93335,709.9071,503968.06,692.0714,49.8,1048.8889,249,9440,8192,0
1644653,935,339.0,935,187.0,418.1447,339,169.5,239.7092,1105.0,935,159.25,335.14633,112323.07,182.0,187.0,169.5,935,339,65535,0
1132126,1138,1581.0,677,142.25,227.74657,1173,225.85715,430.0986,2273533.0,1173,169.9375,319.3628,101992.59,181.26666,142.25,225.85715,1138,1581,8192,0
997341,455,338.0,140,75.833336,62.93621,145,56.333332,68.22512,4084390.0,145,61.0,63.41004,4020.8333,66.083336,75.833336,56.333332,455,338,8192,0
2433910,935,325.0,935,187.0,418.1447,325,108.333336,187.63884,4215078.0,935,140.0,316.9089,100431.25,157.5,187.0,108.333336,935,325,219,0
336928,1144,1581.0,677,143.0,227.96992,1173,225.85715,430.0986,1869776.0,1173,170.3125,319.4027,102018.09,181.66667,143.0,225.85715,1144,1581,8192,0
2412252,935,375.0,935,187.0,418.1447,375,125.0,216.50635,4259185.0,935,145.55556,320.96967,103021.53,163.75,187.0,125.0,935,375,219,0
3479852,1132,1581.0,661,102.90909,197.77232,1173,225.85715,430.0986,2277233.0,1173,142.78947,296.95053,88179.62,150.72223,102.90909,225.85715,1132,1581,8192,0
1948330,935,315.0,935,187.0,418.1447,315,157.5,222.73863,52857.0,935,156.25,333.4104,111162.5,178.57143,187.0,157.5,935,315,65535,0
2259638,935,354.0,935,187.0,418.1447,354,88.5,177.0,4498073.0,935,128.9,304.30045,92598.766,143.22223,187.0,88.5,935,354,237,0
2297502,935,582.0,935,187.0,418.1447,291,116.4,159.38727,5311844.0,935,137.90909,288.85617,83437.89,151.7,187.0,116.4,935,582,219,0
1056638,45,156.0,45,45.0,0.0,156,156.0,0.0,0.0,156,82.0,64.08588,4107.0,123.0,45.0,156.0,45,156,-1,0
3238032,3197,1233.0,1318,145.31818,387.21808,1081,72.52941,262.4686,116606301.0,1318,110.75,332.60123,110623.58,113.589745,145.31818,72.52941,3197,1233,8192,0
547411,249,9585.0,249,35.57143,94.11315,1460,1065.0,638.57263,75151.0,1460,578.4706,700.1583,490221.62,614.625,35.57143,1065.0,249,9585,8192,0
2434737,935,343.0,935,155.83333,381.71216,343,85.75,171.5,3513852.0,935,116.181816,290.4124,84339.37,127.8,155.83333,85.75,935,343,219,0
2897210,1132,1581.0,661,94.333336,190.89423,1173,225.85715,430.0986,3023248.0,1173,135.65,290.78864,84558.03,142.78947,94.333336,225.85715,1132,1581,8192,0
3305394,1459,1731.0,741,104.21429,195.11345,1179,192.33333,386.07446,3890193.0,1179,132.91667,275.70477,76013.125,138.69565,104.21429,192.33333,1459,1731,8192,0
373289,1132,1581.0,661,141.5,222.79202,1173,225.85715,430.0986,1250274.0,1173,169.5625,317.7628,100973.195,180.86667,141.5,225.85715,1132,1581,8192,0
2185908,935,342.0,935,187.0,418.1447,342,85.5,171.0,4187376.0,935,127.7,303.33627,92012.9,141.88889,187.0,85.5,935,342,237,0
2752617,301,152.0,219,43.0,80.18728,107,30.4,47.045723,5220911.0,219,34.846153,64.03885,4100.974,37.75,43.0,30.4,301,152,8192,0
571815,97,231.0,97,24.25,48.5,231,57.75,115.5,61582.0,231,36.444443,79.69961,6352.028,41.0,24.25,57.75,97,231,8192,0
3052738,1441,1731.0,725,102.92857,191.14894,1179,216.375,405.46478,3979982.0,1179,137.91304,278.8947,77782.266,144.18182,102.92857,216.375,1441,1731,8192,0
1146266,1138,2754.0,677,103.454544,201.79909,1173,344.25,520.282,5383218.0,1173,194.6,370.6676,137394.47,204.8421,103.454544,344.25,1138,2754,8192,0
285330,0,0.0,0,0.0,0.0,0,0.0,0.0,6087.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,278,0
3447057,1026,529.0,517,171.0,246.6609,377,88.166664,154.00833,94251.0,517,119.61539,195.55159,38240.42,129.58333,171.0,88.166664,1026,529,8192,0
1336833,26,111.0,26,26.0,0.0,111,111.0,0.0,0.0,111,54.333332,49.07477,2408.3333,81.5,26.0,111.0,26,111,-1,0
606457,31,95.0,31,31.0,0.0,95,95.0,0.0,0.0,95,52.333332,36.950417,1365.3334,78.5,31.0,95.0,31,95,-1,0
511779,1148,1581.0,677,143.5,228.12967,1173,225.85715,430.0986,1348829.0,1173,170.5625,319.43323,102037.59,181.93333,143.5,225.85715,1148,1581,8192,0
471077,320,76.0,80,64.0,35.77709,76,15.2,33.98823,119000000.0,80,43.272728,41.44657,1717.8182,47.6,64.0,15.2,320,76,255,0
1237097,64,96.0,32,32.0,0.0,48,48.0,0.0,55678.0,48,38.4,8.763561,76.8,48.0,32.0,48.0,64,96,-1,0
905687,0,0.0,0,0.0,0.0,0,0.0,0.0,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,257,0
134550,0,0.0,0,0.0,0.0,0,0.0,0.0,164580.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8192,0
1826184,935,248.0,935,187.0,418.1447,248,124.0,175.36249,1108.0,935,147.875,329.6736,108684.695,169.0,187.0,124.0,935,248,65535,0
2116368,935,293.0,935,187.0,418.1447,293,97.666664,169.16364,4206261.0,935,136.44444,314.74597,99065.03,153.5,187.0,97.666664,935,293,219,0
2317476,935,359.0,935,187.0,418.1447,359,119.666664,207.26875,4185424.0,935,143.77777,319.58127,102132.195,161.75,187.0,119.666664,935,359,237,0
2048015,935,302.0,935,187.0,418.1447,302,100.666664,174.35979,5103644.0,935,137.44444,315.31934,99426.28,154.625,187.0,100.666664,935,302,237,0
1663684,935,326.0,935,187.0,418.1447,326,163.0,230.51682,1329.0,935,157.625,334.18042,111676.555,180.14285,187.0,163.0,935,326,65535,0
2320689,935,309.0,935,187.0,418.1447,309,77.25,154.5,4095531.0,935,124.4,300.9157,90550.266,138.22223,187.0,77.25,935,309,219,0
3413351,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,256,0
2868369,510,7592.0,194,63.75,85.85494,1460,843.55554,727.3436,129723.0,1460,450.1111,645.06335,416106.7,476.58823,63.75,843.55554,510,7592,8192,0
3367108,148,243.0,148,49.333332,85.44784,243,60.75,121.5,842.0,243,48.875,93.993065,8834.696,55.857143,49.333332,60.75,148,243,8192,0
655683,97,231.0,97,24.25,48.5,231,57.75,115.5,54538.0,231,36.444443,79.69961,6352.028,41.0,24.25,57.75,97,231,8192,0
981033,36,52.0,36,36.0,0.0,52,52.0,0.0,0.0,52,41.333332,9.237604,85.333336,62.0,36.0,52.0,36,52,-1,0
2256004,935,372.0,935,187.0,418.1447,372,124.0,214.7743,4346442.0,935,145.22223,320.70303,102850.445,163.375,187.0,124.0,935,372,219,0
1821869,935,250.0,935,187.0,418.1447,250,125.0,176.7767,1788.0,935,148.125,329.76114,108742.414,169.28572,187.0,125.0,935,250,65535,0
3253123,1441,1731.0,725,102.92857,191.14894,1179,216.375,405.46478,3889896.0,1179,137.91304,278.8947,77782.266,144.18182,102.92857,216.375,1441,1731,8192,0
2936904,323,3916.0,191,23.071428,58.776585,1460,217.55556,467.28027,60603476.0,1460,128.45454,356.7105,127242.38,132.46875,23.071428,217.55556,323,3916,8192,0
1616765,935,248.0,935,187.0,418.1447,248,124.0,175.36249,1948.0,935,147.875,329.6736,108684.695,169.0,187.0,124.0,935,248,65535,0
2933298,1148,1581.0,677,143.5,228.12967,1173,225.85715,430.0986,2532261.0,1173,170.5625,319.43323,102037.59,181.93333,143.5,225.85715,1148,1581,8192,0
1690427,935,259.0,935,187.0,418.1447,259,129.5,183.14066,1289.0,935,149.25,330.17343,109014.5,170.57143,187.0,129.5,935,259,65535,0
2117299,935,356.0,935,187.0,418.1447,356,89.0,178.0,5241382.0,935,129.1,304.46545,92699.21,143.44444,187.0,89.0,935,356,219,0
1040418,5826,7277.0,529,171.35294,250.73708,662,214.02942,314.14053,119246277.0,662,189.91304,281.7601,79388.76,192.70589,171.35294,214.02942,5826,7277,63579,0
2816260,417,0.0,216,208.5,10.606602,0,0.0,0.0,70236951.0,216,211.0,8.6602545,75.0,316.5,208.5,0.0,417,0,-1,0
3175418,97,231.0,97,24.25,48.5,231,57.75,115.5,51670.0,231,36.444443,79.69961,6352.028,41.0,24.25,57.75,97,231,8192,0
368899,34,126.0,34,34.0,0.0,126,126.0,0.0,0.0,126,64.666664,53.116226,2821.3333,97.0,34.0,126.0,34,126,-1,0
2498214,935,365.0,935,187.0,418.1447,365,121.666664,210.73285,4229626.0,935,144.44444,320.09222,102459.03,162.5,187.0,121.666664,935,365,237,0
1034812,1144,1581.0,677,143.0,227.96992,1173,225.85715,430.0986,2172605.0,1173,170.3125,319.4027,102018.09,181.66667,143.0,225.85715,1144,1581,8192,0
592991,1128,1581.0,661,141.0,222.62332,1173,225.85715,430.0986,1686376.0,1173,169.3125,317.73126,100953.164,180.6,141.0,225.85715,1128,1581,8192,0
1863958,935,291.0,935,187.0,418.1447,291,145.5,205.76807,1485.0,935,153.25,331.88242,110145.93,175.14285,187.0,145.5,935,291,65535,0
1592124,935,365.0,935,187.0,418.1447,365,182.5,258.09396,6226.0,935,162.5,337.25784,113742.86,185.71428,187.0,182.5,935,365,65535,0
1353542,289,0.0,258,96.333336,140.86282,0,0.0,0.0,11412.0,258,109.4,136.2417,18561.8,136.75,96.333336,0.0,289,0,946,0
1099065,541,18269.0,342,31.82353,92.534615,1460,730.76,707.07074,73460517.0,1460,437.44186,641.3336,411308.78,447.85715,31.82353,730.76,541,18269,8192,0
3409182,36,185.0,36,36.0,0.0,185,185.0,0.0,0.0,185,85.666664,86.02519,7400.3335,128.5,36.0,185.0,36,185,-1,0
3463630,36,104.0,36,36.0,0.0,104,104.0,0.0,0.0,104,58.666668,39.25982,1541.3334,88.0,36.0,104.0,36,104,-1,0
987760,0,0.0,0,0.0,0.0,0,0.0,0.0,6008326.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0
1854253,935,291.0,935,187.0,418.1447,291,145.5,205.76807,15289.0,935,153.25,331.88242,110145.93,175.14285,187.0,145.5,935,291,65535,0
2021241,935,324.0,935,187.0,418.1447,324,108.0,187.0615,5527896.0,935,139.88889,316.8361,100385.11,157.375,187.0,108.0,935,324,237,0
2178123,935,354.0,935,187.0,418.1447,354,88.5,177.0,4314137.0,935,128.9,304.30045,92598.766,143.22223,187.0,88.5,935,354,237,0
2334523,935,358.0,935,187.0,418.1447,358,119.333336,206.69139,4231940.0,935,143.66667,319.49725,102078.5,161.625,187.0,119.333336,935,358,219,0
1687198,935,291.0,935,187.0,418.1447,291,145.5,205.76807,1160.0,935,153.25,331.88242,110145.93,175.14285,187.0,145.5,935,291,65535,0
3038717,4823,13502.0,649,185.5,192.08357,1460,421.9375,624.2763,100812956.0,1460,310.59323,489.61273,239720.62,315.94827,185.5,421.9375,4823,13502,8192,0
2515182,935,702.0,935,187.0,418.1447,351,175.5,202.64995,4379245.0,935,163.7,307.79684,94738.9,181.88889,187.0,175.5,935,702,237,0
2456239,935,370.0,935,187.0,418.1447,370,123.333336,213.6196,4260314.0,935,145.0,320.52692,102737.5,163.125,187.0,123.333336,935,370,219,0
337511,44,0.0,22,22.0,0.0,0,0.0,0.0,411988.0,22,22.0,0.0,0.0,33.0,22.0,0.0,44,0,-1,0
2753631,1395,392.0,686,99.64286,190.55692,291,56.0,105.39766,3908663.0,686,81.22727,162.49657,26405.137,85.09524,99.64286,56.0,1395,392,8192,0
610663,97,231.0,97,24.25,48.5,231,57.75,115.5,51843.0,231,36.444443,79.69961,6352.028,41.0,24.25,57.75,97,231,8192,0
2512801,935,373.0,935,187.0,418.1447,373,124.333336,215.35165,4356933.0,935,145.33333,320.7916,102907.25,163.5,187.0,124.333336,935,373,219,0
1748042,935,316.0,935,187.0,418.1447,316,158.0,223.44574,1468.0,935,156.375,333.4786,111207.984,178.71428,187.0,158.0,935,316,65535,0
184413,1128,1581.0,661,141.0,222.62332,1173,225.85715,430.0986,2609426.0,1173,169.3125,317.73126,100953.164,180.6,141.0,225.85715,1128,1581,8192,0
1104539,598,7635.0,198,54.363636,72.352295,1460,587.3077,715.65625,117585428.0,1460,329.32,577.48114,333484.47,343.04166,54.363636,587.3077,598,7635,8192,0
446731,427,2266.0,427,106.75,213.5,1460,453.2,662.2471,34848.0,1460,269.3,498.70276,248704.45,299.22223,106.75,453.2,427,2266,8192,0
2909146,1439,1731.0,725,95.933334,186.14375,1179,216.375,405.46478,3751726.0,1179,132.08333,274.24155,75208.43,137.82608,95.933334,216.375,1439,1731,8192,0
3117351,97,231.0,97,24.25,48.5,231,57.75,115.5,62144.0,231,36.444443,79.69961,6352.028,41.0,24.25,57.75,97,231,8192,0
477702,1132,1581.0,661,141.5,222.79202,1173,225.85715,430.0986,1230938.0,1173,169.5625,317.7628,100973.195,180.86667,141.5,225.85715,1132,1581,8192,0
1136400,1138,1581.0,677,113.8,209.61754,1173,225.85715,430.0986,1917345.0,1173,151.05556,304.98108,93013.47,159.94118,113.8,225.85715,1138,1581,8192,0
2544898,447,788.0,436,27.9375,108.817566,788,56.285713,210.60185,115000000.0,788,39.83871,159.35811,25395.006,41.166668,27.9375,56.285713,447,788,8192,0
2978123,0,0.0,0,0.0,0.0,0,0.0,0.0,85929537.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,62562,0
1289837,40,72.0,40,40.0,0.0,72,72.0,0.0,0.0,72,50.666668,18.475208,341.33334,76.0,40.0,72.0,40,72,-1,0
960128,477,377.0,140,68.14286,65.69736,145,75.4,62.0669,429514.0,145,65.69231,62.00455,3844.5642,71.166664,68.14286,75.4,477,377,65535,0
3376679,0,0.0,0,0.0,0.0,0,0.0,0.0,119493911.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0
2096090,935,642.0,935,187.0,418.1447,321,160.5,185.32944,3364398.0,935,157.7,303.97626,92401.57,175.22223,187.0,160.5,935,642,237,0
495094,42,141.0,42,42.0,0.0,141,141.0,0.0,0.0,141,75.0,57.157677,3267.0,112.5,42.0,141.0,42,141,-1,0
1330023,1128,1581.0,661,141.0,222.62332,1173,225.85715,430.0986,1701439.0,1173,169.3125,317.73126,100953.164,180.6,141.0,225.85715,1128,1581,8192,0
2348831,935,322.0,935,187.0,418.1447,322,107.333336,185.90678,3173712.0,935,139.66667,316.6915,100293.5,157.125,187.0,107.333336,935,322,237,0
2620776,0,0.0,0,0.0,0.0,0,0.0,0.0,6136232.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8192,0
1631317,935,339.0,935,187.0,418.1447,339,169.5,239.7092,1210.0,935,159.25,335.14633,112323.07,182.0,187.0,169.5,935,339,65535,0
901613,97,232.0,97,24.25,48.5,232,58.0,116.0,62127.0,232,36.555557,80.00486,6400.778,41.125,24.25,58.0,97,232,8192,0
2217242,935,360.0,935,187.0,418.1447,360,120.0,207.8461,4582449.0,935,143.88889,319.66562,102186.11,161.875,187.0,120.0,935,360,219,0
395358,1349,2754.0,677,149.88889,214.24545,1173,306.0,500.02426,2817150.0,1173,215.94737,374.63278,140349.72,227.94444,149.88889,306.0,1349,2754,8192,0
273602,1148,1581.0,677,143.5,228.12967,1173,225.85715,430.0986,1540760.0,1173,170.5625,319.43323,102037.59,181.93333,143.5,225.85715,1148,1581,8192,0
1897470,935,266.0,935,187.0,418.1447,266,133.0,188.09041,17704.0,935,150.125,330.51495,109240.125,171.57143,187.0,133.0,935,266,65535,0
2281431,935,341.0,935,187.0,418.1447,341,113.666664,196.87643,4334957.0,935,141.77777,318.119,101199.695,159.5,187.0,113.666664,935,341,237,0
2821454,148,243.0,148,49.333332,85.44784,243,60.75,121.5,481.0,243,48.875,93.993065,8834.696,55.857143,49.333332,60.75,148,243,8192,0
92097,70,182.0,35,35.0,0.0,91,91.0,0.0,30618.0,91,57.4,30.672462,940.8,71.75,35.0,91.0,70,182,-1,0
3081067,0,0.0,0,0.0,0.0,0,0.0,0.0,88101470.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,63326,0
1026622,364,582.0,103,52.0,49.217205,409,116.4,167.03532,886075.0,409,72.76923,109.53322,11997.525,78.833336,52.0,116.4,364,582,8192,0
3244816,533,5007.0,192,53.3,79.654884,1460,500.7,669.09625,2820846.0,1460,263.8095,507.9479,258011.06,277.0,53.3,500.7,533,5007,8192,0
3505710,84,310.0,42,42.0,0.0,155,155.0,0.0,34056.0,155,87.2,61.89265,3830.7,109.0,42.0,155.0,84,310,-1,0
2201362,935,311.0,935,187.0,418.1447,311,103.666664,179.55594,4321861.0,935,138.44444,315.92014,99805.53,155.75,187.0,103.666664,935,311,237,0
215917,33,161.0,33,33.0,0.0,161,161.0,0.0,0.0,161,75.666664,73.90083,5461.3335,113.5,33.0,161.0,33,161,-1,0
2713661,1497,5481.0,234,59.88,72.04011,1430,176.80646,405.05576,118000000.0,1430,122.42105,306.21893,93770.03,124.60714,59.88,176.80646,1497,5481,8192,0
979071,1148,1581.0,677,127.55556,218.69106,1173,225.85715,430.0986,3162131.0,1173,160.52942,312.0441,97371.516,170.5625,127.55556,225.85715,1148,1581,8192,0
2296882,935,301.0,935,187.0,418.1447,301,75.25,150.5,4177237.0,935,123.6,300.38058,90228.49,137.33333,187.0,75.25,935,301,219,0
2046671,935,365.0,935,187.0,418.1447,365,121.666664,210.73285,4958294.0,935,144.44444,320.09222,102459.03,162.5,187.0,121.666664,935,365,219,0
3354876,1437,1731.0,725,102.64286,191.0681,1179,216.375,405.46478,4059583.0,1179,137.73914,278.88483,77776.75,144.0,102.64286,216.375,1437,1731,8192,0
1154065,161,488.0,161,53.666668,92.95339,488,122.0,244.0,291.0,488,81.125,173.78758,30202.125,92.71429,53.666668,122.0,161,488,8192,0
1017356,77,0.0,46,25.666666,23.459185,0,0.0,0.0,254.0,46,30.75,21.68525,470.25,41.0,25.666666,0.0,77,0,258,0
184203,1132,1581.0,661,141.5,222.79202,1173,225.85715,430.0986,1415993.0,1173,169.5625,317.7628,100973.195,180.86667,141.5,225.85715,1132,1581,8192,0
2568030,1128,1581.0,661,141.0,222.62332,1173,225.85715,430.0986,1672392.0,1173,169.3125,317.73126,100953.164,180.6,141.0,225.85715,1128,1581,8192,0
236365,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,114,0
2848526,0,0.0,0,0.0,0.0,0,0.0,0.0,86112132.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,62561,0
2720809,0,0.0,0,0.0,0.0,0,0.0,0.0,101.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,63099,0
1372498,1148,1581.0,677,104.36364,202.29448,1173,225.85715,430.0986,6217495.0,1173,143.63158,298.52026,89114.36,151.61111,104.36364,225.85715,1148,1581,8192,0
893699,0,0.0,0,0.0,0.0,0,0.0,0.0,11293314.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0
1147783,1128,1581.0,661,141.0,222.62332,1173,225.85715,430.0986,3006796.0,1173,169.3125,317.73126,100953.164,180.6,141.0,225.85715,1128,1581,64240,0
2664441,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1024,0
3195233,1128,1581.0,661,112.8,205.13887,1173,225.85715,430.0986,1963328.0,1173,150.5,303.43723,92074.15,159.35294,112.8,225.85715,1128,1581,8192,0
1333933,2503,7229.0,1131,147.23529,358.66638,1460,425.2353,617.09174,61328522.0,1460,278.05713,511.27304,261400.11,286.2353,147.23529,425.2353,2503,7229,8192,0
2096594,935,394.0,935,233.75,467.5,394,78.8,176.20216,3983479.0,935,132.9,307.83057,94759.66,147.66667,233.75,78.8,935,394,237,0
380602,364,582.0,103,52.0,49.217205,409,116.4,167.03532,1436224.0,409,72.76923,109.53322,11997.525,78.833336,52.0,116.4,364,582,8192,0
1039977,870,3306.0,535,62.142857,149.16478,1460,236.14285,521.7581,60898605.0,1460,144.0,380.86697,145059.64,149.14285,62.142857,236.14285,870,3306,8192,0
2572157,591,3634.0,191,49.25,69.43162,1430,302.83334,536.40875,117000000.0,1430,169.0,389.10602,151403.5,176.04167,49.25,302.83334,591,3634,8192,0
2961399,1441,1731.0,725,110.84615,196.55019,1179,216.375,405.46478,4013131.0,1179,144.18182,283.79446,80539.3,151.04762,110.84615,216.375,1441,1731,8192,0
984228,0,0.0,0,0.0,0.0,0,0.0,0.0,54240608.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,279,0
2580142,62,208.0,31,31.0,0.0,104,104.0,0.0,464984.0,104,60.2,39.983746,1598.7,75.25,31.0,104.0,62,208,-1,0
429994,1881,4796.0,1054,235.125,371.87457,1460,685.1429,665.36566,114813.0,1460,417.3125,551.73206,304408.22,445.13333,235.125,685.1429,1881,4796,8192,0
3421905,28,44.0,28,28.0,0.0,44,44.0,0.0,0.0,44,33.333332,9.237604,85.333336,50.0,28.0,44.0,28,44,-1,0
2311340,935,319.0,935,187.0,418.1447,319,106.333336,184.17473,4208057.0,935,139.33333,316.47708,100157.75,156.75,187.0,106.333336,935,319,237,0
1242088,42,106.0,42,42.0,0.0,106,106.0,0.0,0.0,106,63.333332,36.950417,1365.3334,95.0,42.0,106.0,42,106,-1,0
2822883,1308,1418.0,436,186.85715,233.0518,788,283.6,392.33252,2507049.0,788,209.6923,291.0485,84709.234,227.16667,186.85715,283.6,1308,1418,8192,0
1792236,935,291.0,935,187.0,418.1447,291,145.5,205.76807,1336.0,935,153.25,331.88242,110145.93,175.14285,187.0,145.5,935,291,65535,0
2400328,935,303.0,935,187.0,418.1447,303,75.75,151.5,64400000.0,935,123.8,300.51245,90307.734,137.55556,187.0,75.75,935,303,219,0
991851,97,232.0,97,24.25,48.5,232,58.0,116.0,61482.0,232,36.555557,80.00486,6400.778,41.125,24.25,58.0,97,232,8192,0
317323,1132,1581.0,661,125.77778,213.67369,1173,225.85715,430.0986,1506024.0,1173,159.58824,310.4088,96353.63,169.5625,125.77778,225.85715,1132,1581,8192,0
268497,77,0.0,46,25.666666,23.459185,0,0.0,0.0,199.0,46,30.75,21.68525,470.25,41.0,25.666666,0.0,77,0,258,0
553955,35,116.0,35,35.0,0.0,116,116.0,0.0,0.0,116,62.0,46.765373,2187.0,93.0,35.0,116.0,35,116,-1,0
3418188,0,0.0,0,0.0,0.0,0,0.0,0.0,53720952.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,279,0
980096,1128,1581.0,661,141.0,222.62332,1173,158.1,367.7307,4415332.0,1173,142.57895,296.9024,88151.03,150.5,141.0,158.1,1128,1581,64240,0
339933,1144,1581.0,677,127.111115,218.50883,1173,225.85715,430.0986,2091080.0,1173,160.29411,312.00677,97348.22,170.3125,127.111115,225.85715,1144,1581,8192,0
2283981,935,343.0,935,187.0,418.1447,343,114.333336,198.03114,4285112.0,935,142.0,318.2762,101299.75,159.75,187.0,114.333336,935,343,219,0
2039609,935,323.0,935,187.0,418.1447,323,107.666664,186.48413,5111883.0,935,139.77777,316.7636,100339.195,157.25,187.0,107.666664,935,323,219,0
3511622,1441,1731.0,725,102.92857,191.14894,1179,216.375,405.46478,3962077.0,1179,137.91304,278.8947,77782.266,144.18182,102.92857,216.375,1441,1731,8192,0
1810228,935,299.0,935,187.0,418.1447,299,149.5,211.42493,1338.0,935,154.25,332.36844,110468.79,176.28572,187.0,149.5,935,299,65535,0
3408356,31,0.0,31,10.333333,17.897858,0,0.0,0.0,64.0,31,6.2,13.863622,192.2,7.75,10.333333,0.0,31,0,1013,0
