,service,flag,src_bytes,dst_bytes,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,attack
60637,24,9,241,10066,5,1.0,0.0,255,1.0,0.0,4
107066,54,9,991,334,1,1.0,0.0,184,0.58,0.07,4
72267,12,9,32,86,1,1.0,0.0,9,0.69,0.15,4
35919,24,9,197,7203,17,1.0,0.0,255,1.0,0.0,4
45703,24,9,237,2253,16,1.0,0.0,255,1.0,0.0,4
41071,24,9,217,1885,4,1.0,0.0,255,1.0,0.0,4
20534,20,9,4892,0,14,1.0,0.0,20,0.08,0.07,4
20771,12,9,43,43,96,1.0,0.0,255,1.0,0.0,4
91809,24,9,245,622,7,1.0,0.0,255,1.0,0.0,4
72769,24,9,235,671,2,1.0,0.0,255,1.0,0.0,4
89172,24,9,302,2281,3,1.0,0.0,255,1.0,0.0,4
30087,12,9,45,128,270,1.0,0.0,251,0.98,0.01,4
85143,12,9,33,93,1,1.0,0.0,194,1.0,0.0,4
38464,24,9,284,1415,3,1.0,0.0,176,1.0,0.0,4
101732,54,9,1232,366,1,1.0,0.0,155,0.8,0.09,4
108726,54,9,918,329,1,1.0,0.0,149,0.58,0.01,4
30384,49,9,105,0,1,1.0,0.0,108,0.92,0.03,4
121603,24,9,158,1624,2,1.0,0.0,255,1.0,0.0,4
105293,24,9,223,2760,5,1.0,0.0,255,1.0,0.0,4
36587,12,9,42,42,7,1.0,0.0,255,1.0,0.0,4
19224,24,9,178,13294,10,1.0,0.0,255,1.0,0.0,4
112822,24,9,231,3222,7,0.86,0.29,249,0.98,0.01,4
21351,44,9,147,105,4,0.5,0.5,3,0.01,0.55,4
104383,24,9,222,753,2,1.0,0.0,255,1.0,0.0,4
22866,12,9,44,44,6,0.17,0.33,103,0.97,0.02,4
38254,54,9,1535,338,1,1.0,0.0,91,0.21,0.03,4
60058,24,9,324,1319,1,1.0,0.0,255,1.0,0.0,4
110971,24,9,358,934,20,1.0,0.0,255,1.0,0.0,4
36143,24,9,309,1528,6,1.0,0.0,255,1.0,0.0,4
26402,44,9,147,105,1,1.0,0.0,1,0.0,0.44,4
44523,20,9,641,0,1,1.0,0.0,105,0.44,0.03,4
9358,20,9,12,0,1,1.0,0.0,39,0.21,0.12,4
64640,20,9,1470,0,11,1.0,0.0,76,1.0,0.0,4
16358,24,9,307,12304,29,1.0,0.0,255,1.0,0.0,4
88941,24,9,298,1037,9,1.0,0.0,255,1.0,0.0,4
51862,24,9,209,757,2,1.0,0.0,255,1.0,0.0,4
13013,20,9,3690,0,5,1.0,0.0,69,0.16,0.04,4
108980,24,9,311,1378,15,1.0,0.0,255,1.0,0.0,4
119315,24,9,265,7542,1,1.0,0.0,255,1.0,0.0,4
62240,24,9,239,9986,2,1.0,0.0,255,1.0,0.0,4
32899,24,9,296,1425,11,1.0,0.0,255,1.0,0.0,4
63482,24,9,294,1277,4,1.0,0.0,255,1.0,0.0,4
74801,12,9,101,44,3,1.0,0.0,83,0.73,0.04,4
12030,24,9,192,11572,2,1.0,0.0,255,1.0,0.0,4
18496,49,9,105,147,2,1.0,0.0,235,0.92,0.01,4
121551,12,9,43,130,78,1.0,0.0,254,1.0,0.01,4
88107,44,9,6601,0,18,0.06,0.72,1,0.0,0.06,4
125342,24,9,164,7360,4,1.0,0.0,255,1.0,0.0,4
74029,54,9,743,371,1,1.0,0.0,207,1.0,0.0,4
67854,44,9,516,4,247,1.0,0.0,247,1.0,0.0,4
125765,24,9,201,2441,9,1.0,0.0,255,1.0,0.0,4
107704,24,1,0,0,1,1.0,0.0,255,1.0,0.0,4
48402,24,5,0,0,1,1.0,0.0,124,1.0,0.0,4
31063,12,9,46,149,87,1.0,0.0,250,0.98,0.01,4
93673,24,9,327,303,12,1.0,0.0,255,1.0,0.0,4
25595,24,9,248,9309,5,1.0,0.0,255,1.0,0.0,4
118982,12,9,45,73,263,1.0,0.0,254,1.0,0.01,4
4644,60,9,99,2822,1,1.0,0.0,2,0.33,0.67,4
91323,44,9,147,105,7,0.14,0.57,4,0.02,0.47,4
3280,54,9,107,408,1,1.0,0.0,13,0.16,0.05,4
86840,60,9,135,15993,1,1.0,0.0,3,0.02,0.11,4
1553,24,9,296,1518,9,1.0,0.0,255,1.0,0.0,4
120426,19,9,322,1054,1,1.0,0.0,58,0.24,0.02,4
104144,24,9,245,1678,16,1.0,0.0,255,1.0,0.0,4
80900,24,1,0,0,1,1.0,0.0,116,1.0,0.0,4
67757,12,9,44,76,208,1.0,0.0,255,1.0,0.0,4
66633,24,9,212,1635,4,1.0,0.0,255,1.0,0.0,4
94247,24,9,261,12660,1,1.0,0.0,255,1.0,0.0,4
35564,24,9,317,2090,5,1.0,0.0,255,1.0,0.0,4
65300,54,9,2720,372,1,1.0,0.0,240,0.99,0.01,4
80030,54,9,1875,402,1,1.0,0.0,166,0.64,0.1,4
30211,24,9,297,2630,11,1.0,0.0,255,1.0,0.0,4
34835,24,1,0,0,1,1.0,0.0,14,1.0,0.0,4
70458,24,9,233,1600,1,1.0,0.0,255,1.0,0.0,4
90434,24,9,208,801,28,1.0,0.0,252,1.0,0.0,4
7426,24,9,206,313,16,1.0,0.0,255,1.0,0.0,4
25785,43,9,48,48,1,1.0,0.0,162,0.64,0.01,4
33517,1,9,248,368,2,1.0,0.0,3,0.25,0.42,4
17269,24,9,241,658,2,1.0,0.0,255,1.0,0.0,4
85557,12,9,45,76,190,1.0,0.0,250,0.98,0.01,4
75244,24,9,218,482,12,1.0,0.0,255,1.0,0.0,4
35833,64,9,182,0,5,1.0,0.0,30,0.12,0.01,4
84378,12,9,45,146,57,1.0,0.0,151,0.64,0.01,4
117873,24,9,237,5549,1,1.0,0.0,255,1.0,0.0,4
31713,24,9,304,2739,7,1.0,0.0,255,1.0,0.0,4
41457,24,5,0,0,2,1.0,0.0,255,1.0,0.0,4
82625,24,9,214,347,27,1.0,0.0,255,1.0,0.0,4
80594,24,9,216,670,9,1.0,0.0,255,1.0,0.0,4
123614,20,9,4763,0,10,1.0,0.0,55,0.22,0.05,4
90487,24,9,199,426,3,1.0,0.0,255,1.0,0.0,4
106638,24,9,233,3140,13,1.0,0.0,255,1.0,0.0,4
26498,24,9,232,458,1,1.0,0.0,255,1.0,0.0,4
83876,12,9,44,70,134,1.0,0.0,254,1.0,0.01,4
71334,24,9,160,52451,1,1.0,0.0,255,1.0,0.0,4
62353,24,9,326,434,12,1.0,0.0,255,1.0,0.0,4
14574,24,1,0,0,1,1.0,0.0,89,1.0,0.0,4
52599,24,9,215,1342,25,1.0,0.0,255,1.0,0.0,4
63324,47,9,66,3226,1,1.0,0.0,1,1.0,0.0,4
7284,44,9,147,105,1,1.0,0.0,1,0.0,0.66,4
30845,60,9,92,780,1,1.0,0.0,30,0.29,0.04,4
13427,24,1,0,0,1,1.0,0.0,255,1.0,0.0,4
22278,4,9,9,38,1,1.0,0.0,7,0.03,0.03,4
26159,24,9,221,1461,3,1.0,0.0,255,1.0,0.0,4
95436,24,1,0,0,1,1.0,0.0,255,1.0,0.0,4
96825,24,9,289,1632,2,1.0,0.0,255,1.0,0.0,4
87283,12,9,45,45,72,1.0,0.0,254,1.0,0.01,4
125309,24,9,203,1024,17,1.0,0.0,255,1.0,0.0,4
8019,20,9,245,0,2,1.0,0.0,2,0.25,0.5,4
114792,24,9,314,659,7,1.0,0.0,255,1.0,0.0,4
21700,24,9,214,307,2,1.0,0.0,255,1.0,0.0,4
38133,24,9,264,3705,11,1.0,0.0,255,1.0,0.0,4
85369,24,9,284,2594,3,1.0,0.0,255,1.0,0.0,4
13817,24,9,260,190,17,1.0,0.0,121,1.0,0.0,4
5274,24,9,199,1905,4,1.0,0.0,255,1.0,0.0,4
71791,24,9,208,1227,4,1.0,0.0,255,1.0,0.0,4
118371,12,9,45,45,305,1.0,0.01,254,1.0,0.01,4
96655,60,9,103,937,1,1.0,0.0,3,0.1,0.3,4
36328,24,9,265,2259,33,1.0,0.0,255,1.0,0.0,4
70598,24,9,243,261,31,1.0,0.0,255,1.0,0.0,4
27164,24,9,230,27137,15,1.0,0.0,255,1.0,0.0,4
73367,24,9,170,12589,6,1.0,0.0,255,1.0,0.0,4
117756,12,9,43,69,238,1.0,0.0,255,1.0,0.0,4
54452,12,9,44,77,120,1.0,0.0,176,0.69,0.01,4
103723,44,9,147,105,1,1.0,0.0,1,0.0,0.84,4
120789,24,9,232,1481,2,1.0,0.0,255,1.0,0.0,4
94414,12,9,44,126,7,1.0,0.0,252,0.99,0.01,4
4473,54,9,758,328,1,1.0,0.0,190,0.63,0.09,4
46220,24,9,244,294,28,1.0,0.0,255,1.0,0.0,4
95559,24,9,252,1512,6,1.0,0.0,255,1.0,0.0,4
33113,24,9,256,734,22,1.0,0.0,255,1.0,0.0,4
43673,54,9,1034,361,1,1.0,0.0,130,0.56,0.05,4
96317,24,9,305,2239,6,1.0,0.0,235,0.92,0.02,4
108175,54,9,1811,331,1,1.0,0.0,130,0.51,0.03,4
161,12,9,46,128,222,1.0,0.0,253,0.99,0.01,4
123572,24,9,224,2913,9,1.0,0.0,255,1.0,0.0,4
75515,24,9,273,2379,29,1.0,0.0,255,1.0,0.0,4
33391,54,9,1766,335,1,1.0,0.0,239,0.95,0.02,4
7659,24,9,223,6727,6,1.0,0.0,255,1.0,0.0,4
79136,24,9,257,8888,5,1.0,0.0,255,1.0,0.0,4
88948,24,9,289,559,14,1.0,0.0,255,1.0,0.0,4
77153,24,9,316,655,5,1.0,0.0,255,1.0,0.0,4
84207,24,9,215,330,6,1.0,0.0,255,1.0,0.0,4
73928,20,9,567,0,1,1.0,0.0,76,0.31,0.03,4
26528,14,9,30,0,1,1.0,0.0,90,0.98,0.04,4
7790,20,9,192,0,2,1.0,0.0,49,0.8,0.4,4
122551,54,9,980,336,1,1.0,0.0,178,0.82,0.08,4
65550,12,9,46,143,75,1.0,0.0,254,1.0,0.01,4
92504,18,9,7,0,1,1.0,0.0,10,0.08,0.16,4
124365,24,9,223,2459,6,1.0,0.0,255,1.0,0.0,4
55081,24,1,0,0,1,1.0,0.0,138,1.0,0.0,4
92467,24,9,147,9772,2,1.0,0.0,255,1.0,0.0,4
54301,12,9,44,84,163,1.0,0.0,254,1.0,0.01,4
12248,12,9,45,76,228,1.0,0.0,255,1.0,0.0,4
81161,24,9,312,9803,30,1.0,0.0,255,1.0,0.0,4
85679,24,9,311,6086,9,1.0,0.0,255,1.0,0.0,4
61022,49,9,105,145,1,1.0,0.0,8,0.5,0.19,4
118675,12,9,42,42,4,1.0,0.0,245,0.96,0.01,4
24289,54,9,981,330,1,1.0,0.0,162,0.62,0.03,4
78136,24,9,335,2989,9,1.0,0.0,255,1.0,0.0,4
37863,12,9,45,140,15,1.0,0.0,216,0.85,0.01,4
93713,44,9,516,4,237,1.0,0.0,237,1.0,0.0,4
113715,24,9,364,291,4,1.0,0.0,255,1.0,0.0,4
109074,44,9,146,0,1,1.0,0.0,1,0.0,0.53,4
71003,24,9,245,7649,3,1.0,0.0,255,1.0,0.0,4
43845,19,9,227,768,1,1.0,0.0,49,0.19,0.02,4
99285,44,9,147,0,5,0.2,0.6,1,0.0,0.05,4
41688,54,9,745,331,1,1.0,0.0,123,0.57,0.03,4
44761,24,9,228,8625,2,1.0,0.0,255,1.0,0.0,4
6255,24,9,211,2156,3,1.0,0.0,255,1.0,0.0,4
91632,24,9,307,7462,6,1.0,0.0,255,1.0,0.0,4
47943,24,9,221,2714,7,1.0,0.0,255,1.0,0.0,4
107721,24,9,309,262,7,1.0,0.0,255,1.0,0.0,4
62851,24,9,454,2779,1,1.0,0.0,255,1.0,0.0,4
52543,24,9,160,584,1,1.0,0.0,255,1.0,0.0,4
110856,19,9,1495,4152,1,1.0,0.0,33,0.18,0.04,4
96786,24,9,213,1043,17,1.0,0.0,255,1.0,0.0,4
5493,44,9,7012,0,5,0.2,0.4,1,0.01,0.05,4
56713,24,9,201,1859,23,1.0,0.0,255,1.0,0.0,4
22280,24,9,213,1963,14,1.0,0.0,255,1.0,0.0,4
54781,12,9,43,145,15,1.0,0.0,200,0.79,0.03,4
93756,54,9,1780,399,1,1.0,0.0,73,0.29,0.05,4
52668,24,9,202,441,4,1.0,0.0,255,1.0,0.0,4
22515,24,1,0,0,1,1.0,0.0,255,1.0,0.0,4
122426,12,9,30,0,1,1.0,0.0,17,0.1,0.03,4
99029,24,9,209,3127,19,1.0,0.0,255,1.0,0.0,4
118885,12,9,43,43,231,1.0,0.0,255,1.0,0.0,4
78078,24,9,263,7065,7,1.0,0.0,255,1.0,0.0,4
88694,44,9,4892,0,12,0.08,0.33,1,0.01,0.07,4
8875,64,9,183,0,2,0.5,1.0,16,0.06,0.01,4
34816,20,9,6062,0,5,1.0,0.0,11,0.04,0.02,4
40677,54,9,693,327,1,1.0,0.0,185,0.71,0.02,4
47618,54,9,851,337,1,1.0,0.0,111,0.58,0.02,4
114384,54,9,925,335,1,1.0,0.0,184,0.75,0.04,4
31620,44,9,516,4,389,1.0,0.0,255,1.0,0.0,4
74931,24,9,230,361,1,1.0,0.0,255,1.0,0.0,4
104902,60,9,114,5824,1,1.0,0.0,2,0.01,0.06,4
953,54,9,887,436,1,1.0,0.0,109,0.43,0.04,4
79528,24,9,291,10690,4,1.0,0.0,255,1.0,0.0,4
9282,24,9,336,1125,5,1.0,0.0,255,1.0,0.0,4
124692,12,9,42,42,5,1.0,0.0,239,0.94,0.01,4
4425,24,9,216,1726,21,1.0,0.0,255,1.0,0.0,4
38723,24,9,311,598,1,1.0,0.0,255,1.0,0.0,4
4334,24,9,197,1410,2,1.0,0.0,255,1.0,0.0,4
101103,24,9,308,1075,7,1.0,0.0,254,1.0,0.01,4
73621,24,1,0,0,1,1.0,0.0,141,1.0,0.0,4
83166,24,5,0,0,2,1.0,0.0,255,1.0,0.0,4
24798,24,9,331,2109,6,1.0,0.0,255,1.0,0.0,4
11751,54,9,3414,332,1,1.0,0.0,108,0.69,0.25,4
94644,54,9,922,338,1,1.0,0.0,160,0.75,0.02,4
117671,24,9,196,3317,6,1.0,0.0,255,1.0,0.0,4
21067,24,9,234,4200,5,1.0,0.0,255,1.0,0.0,4
80218,24,9,169,2227,8,1.0,0.0,255,1.0,0.0,4
41649,24,9,364,4090,1,1.0,0.0,255,1.0,0.0,4
75097,47,9,66,3921,1,1.0,0.0,4,0.02,0.11,4
91109,18,9,7,136,1,1.0,0.0,8,0.04,0.02,4
43927,24,9,308,1248,11,1.0,0.0,255,1.0,0.0,4
116121,24,9,292,2808,15,1.0,0.0,255,1.0,0.0,4
94239,20,9,1342,0,4,1.0,0.0,69,0.31,0.08,4
94108,20,9,12165,0,1,1.0,0.0,28,0.11,0.01,4
86598,24,9,314,398,16,1.0,0.0,255,1.0,0.0,4
89730,24,9,247,5280,12,1.0,0.0,255,1.0,0.0,4
25942,12,9,34,0,1,1.0,0.0,22,0.1,0.03,4
15425,24,9,226,2180,16,1.0,0.0,255,1.0,0.0,4
20341,12,9,104,0,1,1.0,0.0,255,1.0,0.0,4
472,24,9,405,23786,1,1.0,0.0,255,1.0,0.0,4
65551,12,9,46,78,230,1.0,0.0,255,1.0,0.0,4
61317,44,9,146,105,1,1.0,0.0,1,0.0,0.53,4
116558,54,9,2040,334,1,1.0,0.0,168,0.66,0.02,4
40090,60,9,454,2687,1,1.0,0.0,4,1.0,0.0,4
74073,12,9,112,45,1,1.0,0.0,24,0.67,0.06,4
84045,20,9,12,0,1,1.0,0.0,5,0.02,0.53,4
46636,24,9,285,2531,4,1.0,0.0,250,1.0,0.0,4
66558,24,9,325,3073,2,1.0,0.0,255,1.0,0.0,4
97740,24,9,290,398,3,1.0,0.0,255,1.0,0.0,4
88799,20,9,641,0,3,1.0,0.0,110,0.43,0.02,4
99676,24,9,357,2197,1,1.0,0.0,255,1.0,0.0,4
19652,12,9,46,83,129,1.0,0.0,230,0.9,0.01,4
40457,24,9,316,940,13,1.0,0.0,255,1.0,0.0,4
68753,24,9,294,1719,7,1.0,0.0,255,1.0,0.0,4
8358,24,5,0,0,2,1.0,0.0,255,1.0,0.0,4
53922,24,9,221,336,6,1.0,0.0,255,1.0,0.0,4
86217,44,9,147,105,1,1.0,0.0,1,0.01,0.64,4
32657,54,9,3696,328,1,1.0,0.0,161,0.57,0.03,4
78773,20,9,6601,0,19,1.0,0.0,71,0.29,0.02,4
72524,24,9,322,1519,2,1.0,0.0,255,1.0,0.0,4
13657,24,1,0,0,9,1.0,0.0,165,1.0,0.0,4
16484,12,9,46,71,64,1.0,0.0,243,0.95,0.01,4
62913,24,9,238,930,19,1.0,0.0,255,1.0,0.0,4
83327,24,1,0,0,8,1.0,0.0,247,1.0,0.0,4
93446,12,9,45,77,141,1.0,0.0,255,1.0,0.0,4
38383,24,9,291,327,1,1.0,0.0,255,1.0,0.0,4
94610,24,9,225,3006,2,1.0,0.0,255,1.0,0.0,4
68475,24,9,149,3344,2,1.0,0.0,61,1.0,0.0,4
101962,12,9,42,127,143,1.0,0.0,255,1.0,0.0,4
78656,12,9,43,69,155,1.0,0.0,225,0.88,0.01,4
45511,24,9,271,2422,11,1.0,0.0,255,1.0,0.0,4
24627,24,9,214,1319,9,1.0,0.0,255,1.0,0.0,4
61779,12,9,43,43,74,1.0,0.0,255,1.0,0.0,4
63815,12,9,45,75,78,1.0,0.0,212,0.83,0.01,4
82526,12,9,42,42,150,1.0,0.0,254,1.0,0.01,4
50182,24,9,311,3503,3,1.0,0.0,255,1.0,0.0,4
70940,18,9,10,223,1,1.0,0.0,5,0.05,0.06,4
2082,24,9,305,660,13,1.0,0.0,255,1.0,0.0,4
93590,54,9,1478,324,1,1.0,0.0,153,0.62,0.02,4
68927,24,9,207,652,21,1.0,0.0,255,1.0,0.0,4
79409,44,9,146,105,1,1.0,0.0,1,0.0,0.67,4
82149,12,9,45,132,306,1.0,0.0,251,0.98,0.01,4
113398,54,9,1282,390,1,1.0,0.0,176,0.44,0.12,4
120847,24,9,241,4137,13,1.0,0.0,255,1.0,0.0,4
45738,12,9,46,136,21,1.0,0.0,218,0.85,0.01,4
43611,49,9,105,105,7,0.14,0.29,236,0.93,0.01,4
24013,54,9,1981,333,1,1.0,0.0,129,0.92,0.15,4
60529,24,9,298,1453,18,1.0,0.0,255,1.0,0.0,4
105644,24,9,292,1344,12,1.0,0.0,255,1.0,0.0,4
79048,24,9,204,182,21,1.0,0.0,255,1.0,0.0,4
40769,24,9,225,2650,1,1.0,0.0,17,1.0,0.0,4
90030,24,9,247,2926,31,1.0,0.0,255,1.0,0.0,4
67317,20,9,1214,0,17,1.0,0.0,141,0.55,0.02,4
73086,12,9,46,122,196,1.0,0.0,255,1.0,0.0,4
74873,24,9,207,288,3,1.0,0.0,255,1.0,0.0,4
65670,24,9,299,7492,5,1.0,0.0,255,1.0,0.0,4
25301,54,9,1810,370,1,1.0,0.0,129,0.59,0.05,4
68521,24,1,0,0,1,1.0,0.0,227,1.0,0.0,4
21524,24,9,305,520,27,1.0,0.0,255,1.0,0.0,4
88974,12,9,44,128,95,1.0,0.0,253,0.99,0.01,4
10226,24,9,238,821,27,1.0,0.0,255,1.0,0.0,4
79083,24,9,174,337,1,1.0,0.0,255,1.0,0.0,4
34744,24,9,218,434,2,1.0,0.0,255,1.0,0.0,4
15915,12,9,46,133,125,1.0,0.0,180,0.73,0.02,4
102770,11,9,48,496,74,0.01,0.03,1,0.0,0.02,4
58050,12,9,46,112,107,1.0,0.0,255,1.0,0.0,4
59862,24,9,308,23714,5,1.0,0.0,255,1.0,0.0,4
77497,24,9,297,1705,29,1.0,0.0,255,1.0,0.0,4
49992,12,9,38,38,5,1.0,0.0,239,0.94,0.01,4
99360,12,9,44,114,10,1.0,0.0,254,1.0,0.01,4
38315,24,9,221,6284,3,1.0,0.0,255,1.0,0.0,4
120365,19,9,916,2586,1,1.0,0.0,11,0.26,0.07,4
101005,12,9,42,42,15,1.0,0.0,250,0.98,0.01,4
112729,24,9,301,633,2,1.0,0.0,255,1.0,0.0,4
119031,20,9,641,0,2,1.0,0.0,9,0.5,0.17,4
65690,64,9,181,0,2,0.5,1.0,42,0.16,0.01,4
36056,54,9,1809,330,1,1.0,0.0,139,0.56,0.04,4
81296,44,9,147,0,1,1.0,0.0,5,0.02,0.63,4
74475,12,9,45,92,133,1.0,0.0,255,1.0,0.0,4
100073,24,9,274,9757,1,1.0,0.0,255,1.0,0.0,4
95454,24,1,0,0,2,1.0,0.0,255,1.0,0.0,4
15319,24,9,167,2770,2,1.0,0.0,235,1.0,0.0,4
41458,44,9,147,105,2,1.0,0.0,2,0.01,0.72,4
77045,12,9,46,74,155,0.99,0.01,250,0.98,0.01,4
50146,60,9,206,48165,1,1.0,0.0,3,0.02,0.05,4
60675,60,4,125,3319,1,1.0,0.0,24,0.09,0.06,4
18551,24,9,338,664,2,1.0,0.0,255,1.0,0.0,4
68329,24,9,250,4080,11,1.0,0.0,255,1.0,0.0,4
106382,24,9,328,412,4,1.0,0.0,255,1.0,0.0,4
109309,24,9,159,584,1,1.0,0.0,255,1.0,0.0,4
22316,24,9,232,27728,5,1.0,0.0,255,1.0,0.0,4
6618,24,9,351,725,10,1.0,0.0,255,1.0,0.0,4
47378,24,9,296,24936,1,1.0,0.0,255,1.0,0.0,4
78325,24,9,324,369,8,1.0,0.0,255,1.0,0.0,4
32010,24,9,282,8222,1,1.0,0.0,255,1.0,0.0,4
65858,24,9,352,12922,10,1.0,0.0,255,1.0,0.0,4
58828,24,9,344,928,36,1.0,0.0,255,1.0,0.0,4
83126,24,9,243,25728,12,1.0,0.0,255,1.0,0.0,4
121233,24,9,225,495,34,1.0,0.0,255,1.0,0.0,4
88092,12,9,43,109,122,0.99,0.02,215,0.84,0.02,4
41075,24,9,320,7543,2,1.0,0.0,255,1.0,0.0,4
10299,12,9,43,43,184,1.0,0.0,231,0.91,0.01,4
77052,24,9,298,1007,19,1.0,0.0,255,1.0,0.0,4
37624,54,9,705,333,1,1.0,0.0,84,0.65,0.02,4
88189,24,9,216,392,31,1.0,0.0,255,1.0,0.0,4
74980,24,9,304,1268,22,1.0,0.0,255,1.0,0.0,4
24525,24,9,236,35147,1,1.0,0.0,255,1.0,0.0,4
13566,24,9,223,740,11,1.0,0.0,255,1.0,0.0,4
4517,24,9,206,810,22,1.0,0.0,255,1.0,0.0,4
28425,44,9,146,105,1,1.0,0.0,1,0.0,0.8,4
102808,24,9,330,912,2,1.0,0.0,255,1.0,0.0,4
16812,12,9,43,128,143,1.0,0.0,210,0.82,0.01,4
20550,24,9,330,821,7,1.0,0.0,255,1.0,0.0,4
65581,54,9,919,334,1,1.0,0.0,32,0.8,0.08,4
39223,24,9,328,1137,4,1.0,0.0,255,1.0,0.0,4
80845,24,9,352,397,3,1.0,0.0,255,1.0,0.0,4
29334,24,9,192,934,10,1.0,0.0,255,1.0,0.0,4
112580,24,9,202,434,21,1.0,0.0,255,1.0,0.0,4
46228,24,9,255,2226,18,1.0,0.0,255,1.0,0.0,4
107365,24,9,226,329,2,1.0,0.0,255,1.0,0.0,4
102413,24,9,311,740,1,1.0,0.0,255,1.0,0.0,4
18782,24,9,305,525,3,1.0,0.0,255,1.0,0.0,4
90915,12,9,45,77,225,1.0,0.01,243,0.95,0.02,4
87028,24,9,217,364,5,1.0,0.0,255,1.0,0.0,4
19636,24,9,198,283,4,1.0,0.0,255,1.0,0.0,4
83871,20,9,854,0,6,1.0,0.0,125,0.49,0.04,4
84535,24,9,210,761,1,1.0,0.0,255,1.0,0.0,4
30011,24,9,294,9042,12,1.0,0.0,255,1.0,0.0,4
25796,49,9,105,147,1,1.0,0.0,94,0.99,0.02,4
123493,24,9,339,398,6,1.0,0.0,255,1.0,0.0,4
7395,24,1,0,0,1,1.0,0.0,60,0.73,0.02,4
