,service,flag,src_bytes,dst_bytes,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,labels
66280,23,9,323,11485,21,1.0,0.0,255,1.0,0.0,4
20261,12,9,44,127,75,1.0,0.0,254,1.0,0.01,4
50915,23,9,232,6008,14,1.0,0.0,255,1.0,0.0,4
6126,23,9,322,16407,4,1.0,0.0,200,1.0,0.0,4
10007,23,9,212,337,20,1.0,0.0,255,1.0,0.0,4
76303,51,9,204819,334,1,1.0,0.0,37,0.5,0.07,4
45418,19,9,1203,3380,1,1.0,0.0,57,0.25,0.02,4
27279,61,9,78,0,13,0.38,0.15,15,0.06,0.01,4
79405,23,9,240,17662,35,1.0,0.0,255,1.0,0.0,4
73723,23,1,0,0,1,1.0,0.0,152,1.0,0.0,4
279,23,9,226,651,12,1.0,0.0,255,1.0,0.0,4
81016,12,9,45,45,88,1.0,0.0,227,0.89,0.01,4
72739,12,9,44,113,9,1.0,0.0,251,0.98,0.01,4
56246,47,9,105,147,2,1.0,0.0,72,0.99,0.03,4
54715,20,9,192,0,1,1.0,0.0,120,0.45,0.02,4
53235,23,9,239,3272,4,1.0,0.0,255,1.0,0.0,4
84575,23,9,306,1065,7,1.0,0.0,255,1.0,0.0,4
46957,23,9,318,762,17,1.0,0.0,255,1.0,0.0,4
26235,23,9,223,492,7,1.0,0.0,255,1.0,0.0,4
67902,23,1,0,0,1,1.0,0.0,255,1.0,0.0,4
125149,57,9,626,22509,1,1.0,0.0,69,0.27,0.02,4
43435,47,9,105,147,1,1.0,0.0,119,0.99,0.02,4
5763,42,9,146,105,1,1.0,0.0,1,0.0,0.83,4
46662,23,9,264,14602,1,1.0,0.0,255,1.0,0.0,4
11860,12,9,44,72,140,1.0,0.0,255,1.0,0.0,4
45014,23,1,0,0,1,1.0,0.0,255,1.0,0.0,4
101340,23,9,218,458,35,1.0,0.0,255,1.0,0.0,4
92270,23,9,181,12246,3,1.0,0.0,214,1.0,0.0,4
92334,23,9,243,1055,17,1.0,0.0,255,1.0,0.0,4
121901,23,9,322,1236,5,1.0,0.0,17,1.0,0.0,4
107717,23,9,306,370,8,1.0,0.0,255,1.0,0.0,4
52979,23,9,351,961,5,1.0,0.0,255,1.0,0.0,4
121486,23,8,224,3967,1,1.0,0.0,121,1.0,0.0,4
32796,23,9,263,281,1,1.0,0.0,253,0.99,0.01,4
44582,12,9,43,96,136,1.0,0.0,254,1.0,0.01,4
745,23,9,226,1022,23,1.0,0.0,255,1.0,0.0,4
47129,23,9,281,3147,4,1.0,0.0,255,1.0,0.0,4
9831,23,9,286,9133,20,1.0,0.0,255,1.0,0.0,4
4572,20,9,748,0,1,1.0,0.0,23,0.19,0.02,4
45096,23,9,297,63203,6,1.0,0.0,255,1.0,0.0,4
85922,23,9,268,5032,1,1.0,0.0,233,0.91,0.01,4
30476,23,9,213,6924,17,1.0,0.0,255,1.0,0.0,4
84501,23,1,0,0,1,1.0,0.0,255,1.0,0.0,4
16168,51,9,1722,438,1,1.0,0.0,33,0.13,0.06,4
103123,23,9,297,1964,33,1.0,0.0,255,1.0,0.0,4
43812,23,9,369,294,8,1.0,0.0,231,1.0,0.0,4
29269,51,9,1690,329,2,0.5,1.0,112,0.53,0.03,4
97811,42,9,147,0,1,1.0,0.0,1,0.0,0.6,4
7438,23,9,318,3016,24,1.0,0.0,255,1.0,0.0,4
73501,12,9,46,46,129,1.0,0.0,254,1.0,0.01,4
52232,23,9,326,28198,1,1.0,0.0,255,1.0,0.0,4
89686,51,9,973,327,1,1.0,0.0,133,0.96,0.01,4
24656,12,9,44,71,131,1.0,0.0,255,1.0,0.0,4
36583,20,9,8766,0,5,1.0,0.0,61,0.37,0.04,4
96714,42,9,516,4,235,1.0,0.0,235,1.0,0.0,4
29066,19,9,921,2720,1,1.0,0.0,24,0.22,0.04,4
74094,23,9,231,263,3,1.0,0.0,255,1.0,0.0,4
64453,12,9,45,132,167,1.0,0.0,253,0.99,0.01,4
13615,57,9,634,20143,1,1.0,0.0,109,0.49,0.01,4
103826,23,9,205,2543,23,1.0,0.0,255,1.0,0.0,4
1068,20,9,748,0,1,1.0,0.0,33,0.2,0.03,4
55641,23,9,242,1870,8,1.0,0.0,255,1.0,0.0,4
107749,20,9,40494,0,13,1.0,0.0,81,0.32,0.02,4
111750,12,9,33,0,4,0.5,0.5,7,0.11,0.06,4
108226,47,9,207,0,2,1.0,0.0,212,0.84,0.01,4
104219,23,9,179,14515,4,1.0,0.0,255,1.0,0.0,4
108225,23,9,303,2507,3,1.0,0.0,253,0.99,0.01,4
95073,23,9,199,3485,4,1.0,0.0,255,1.0,0.0,4
79391,18,6,7,0,1,1.0,0.0,8,0.07,0.04,4
95425,42,9,146,105,1,1.0,0.0,1,0.0,0.69,4
40423,23,9,244,2522,1,1.0,0.0,255,1.0,0.0,4
83709,23,9,237,799,18,1.0,0.0,255,1.0,0.0,4
79384,42,9,147,105,3,0.33,0.67,1,0.0,0.64,4
27216,23,9,324,1409,8,1.0,0.0,255,1.0,0.0,4
51962,23,9,256,7312,4,1.0,0.0,100,1.0,0.0,4
79031,23,9,194,1577,7,1.0,0.0,255,1.0,0.0,4
31917,20,9,6062,0,1,1.0,0.0,89,0.35,0.02,4
119624,23,9,234,3600,1,1.0,0.0,255,1.0,0.0,4
100457,12,9,45,73,321,1.0,0.01,251,0.98,0.01,4
96213,23,9,171,307,1,1.0,0.0,223,1.0,0.0,4
103789,19,9,276,903,3,0.33,0.67,1,0.11,0.22,4
73377,23,9,192,60,1,1.0,0.0,255,1.0,0.0,4
100264,23,9,267,2611,8,1.0,0.0,255,1.0,0.0,4
27345,20,9,2194619,0,2,1.0,0.0,72,0.67,0.07,4
76902,51,9,1503,393,1,1.0,0.0,13,0.05,0.06,4
67272,23,9,210,736,3,1.0,0.0,255,1.0,0.0,4
116618,51,9,935,481,1,1.0,0.0,143,0.67,0.67,4
4394,23,9,415,235,6,1.0,0.0,255,1.0,0.0,4
45645,51,9,1946,326,1,1.0,0.0,145,0.56,0.03,4
37568,12,9,45,139,283,1.0,0.0,251,0.98,0.01,4
1120,23,9,303,6833,9,1.0,0.0,255,1.0,0.0,4
99328,51,9,1666,404,1,1.0,0.0,29,0.3,0.05,4
27743,23,9,206,770,5,1.0,0.0,255,1.0,0.0,4
10681,20,9,3888,0,11,1.0,0.0,105,0.7,0.09,4
58491,23,9,327,54490,1,1.0,0.0,255,1.0,0.0,4
81703,23,9,342,654,4,1.0,0.0,255,1.0,0.0,4
90170,23,9,281,1395,28,1.0,0.0,255,1.0,0.0,4
98754,23,9,223,1415,10,1.0,0.0,255,1.0,0.0,4
109615,51,9,105,403,1,1.0,0.0,139,0.58,0.03,4
6159,23,9,208,6530,2,1.0,0.0,255,1.0,0.0,4
51193,12,9,46,74,258,1.0,0.0,254,1.0,0.01,4
41341,12,9,44,132,321,1.0,0.01,251,0.98,0.01,4
28128,23,9,294,1600,10,1.0,0.0,255,1.0,0.0,4
75145,23,9,339,304,5,1.0,0.0,255,1.0,0.0,4
64957,51,9,729,329,1,1.0,0.0,181,0.65,0.03,4
58346,23,9,214,765,31,1.0,0.0,255,1.0,0.0,4
58021,19,9,1491,4152,1,1.0,0.0,24,0.3,0.06,4
61159,23,9,216,354,24,1.0,0.0,255,1.0,0.0,4
36766,57,9,100,2678,1,1.0,0.0,1,0.14,0.29,4
92005,23,9,233,1931,7,1.0,0.0,255,1.0,0.0,4
44604,42,9,516,4,289,1.0,0.0,255,1.0,0.0,4
49129,12,9,44,75,122,1.0,0.0,254,1.0,0.01,4
82360,23,9,259,4522,1,1.0,0.0,255,1.0,0.0,4
82916,51,9,1375,336,1,1.0,0.0,171,0.67,0.02,4
34827,51,9,2741,343,1,1.0,0.0,198,0.73,0.02,4
119256,23,9,229,660,2,1.0,0.0,255,1.0,0.0,4
52367,23,9,205,8064,13,1.0,0.0,255,1.0,0.0,4
54765,23,9,243,2015,16,1.0,0.0,255,1.0,0.0,4
120977,51,9,1134,368,1,1.0,0.0,164,0.43,0.07,4
92454,51,9,823,331,1,1.0,0.0,126,0.86,0.29,4
48345,12,9,43,131,127,1.0,0.0,254,1.0,0.01,4
3006,20,9,252,0,1,1.0,0.0,95,0.61,0.11,4
54681,47,9,105,147,1,1.0,0.0,66,0.99,0.03,4
120007,23,1,0,0,1,1.0,0.0,255,1.0,0.0,4
98953,20,9,194,0,2,1.0,0.0,73,0.36,0.03,4
19454,51,9,1496,323,1,1.0,0.0,175,0.67,0.67,4
55101,23,1,0,0,1,1.0,0.0,255,1.0,0.0,4
69971,23,9,230,4937,37,1.0,0.0,255,1.0,0.0,4
67526,23,9,295,8667,1,1.0,0.0,255,1.0,0.0,4
79993,12,9,45,130,161,1.0,0.0,47,0.55,0.03,4
24632,23,9,296,301,19,1.0,0.0,255,1.0,0.0,4
101343,23,9,216,530,9,1.0,0.0,255,1.0,0.0,4
43060,23,9,458,4759,18,1.0,0.0,249,1.0,0.0,4
125500,12,9,30,0,1,1.0,0.0,14,0.14,0.04,4
86808,23,9,325,2248,2,1.0,0.0,255,1.0,0.0,4
113684,23,9,207,32879,9,1.0,0.0,255,1.0,0.0,4
28197,12,9,45,78,140,1.0,0.0,223,0.87,0.01,4
89069,12,9,45,138,69,1.0,0.0,234,0.92,0.01,4
99441,23,9,300,1556,2,1.0,0.0,255,1.0,0.0,4
12858,51,9,1490,407,1,1.0,0.0,171,0.8,0.08,4
117205,42,9,146,105,1,1.0,0.0,2,0.01,0.53,4
18122,23,9,186,690,9,1.0,0.0,255,1.0,0.0,4
34931,51,9,895,366,1,1.0,0.0,116,0.3,0.06,4
112616,23,9,244,1808,1,1.0,0.0,255,1.0,0.0,4
11698,20,9,641,0,2,1.0,0.0,94,0.9,0.2,4
2457,12,9,43,43,166,1.0,0.0,255,1.0,0.0,4
56681,12,9,42,42,3,1.0,0.0,87,0.97,0.03,4
58134,47,9,105,0,1,1.0,0.0,15,1.0,0.0,4
28924,61,9,78,0,21,0.19,0.1,25,0.1,0.01,4
106799,20,9,748,0,1,1.0,0.0,84,0.46,0.04,4
48544,51,9,612,338,1,1.0,0.0,127,0.5,0.02,4
119444,12,9,44,124,75,1.0,0.0,181,0.78,0.01,4
9138,42,9,147,105,3,0.67,0.67,2,0.01,0.85,4
16122,12,9,46,46,141,0.99,0.01,254,1.0,0.01,4
108643,12,9,31,0,1,1.0,0.0,39,0.21,0.05,4
109839,51,9,753,326,1,1.0,0.0,32,0.6,0.11,4
26517,23,9,161,688,11,1.0,0.0,255,1.0,0.0,4
71443,15,9,64,0,1,1.0,0.0,1,0.0,0.06,4
56386,23,9,228,3835,12,1.0,0.0,255,1.0,0.0,4
105371,23,9,289,4452,3,1.0,0.0,255,1.0,0.0,4
68273,23,9,229,782,10,1.0,0.0,255,1.0,0.0,4
122752,12,9,43,133,29,1.0,0.0,208,0.82,0.02,4
95882,23,9,208,411,19,1.0,0.0,255,1.0,0.0,4
69166,23,9,238,1249,10,1.0,0.0,255,1.0,0.0,4
38594,47,9,105,146,1,1.0,0.0,252,0.99,0.01,4
1503,20,9,8325,0,17,1.0,0.0,46,0.53,0.03,4
12617,23,9,194,1274,39,1.0,0.0,255,1.0,0.0,4
17249,23,9,230,857,29,1.0,0.0,255,1.0,0.0,4
39245,12,9,45,45,154,1.0,0.0,255,1.0,0.0,4
64887,51,9,2053,325,1,1.0,0.0,53,0.71,0.05,4
77362,51,9,2701,415,1,1.0,0.0,143,0.73,0.2,4
52669,23,9,202,441,4,1.0,0.0,255,1.0,0.0,4
89454,23,9,281,272,4,1.0,0.0,255,1.0,0.0,4
20038,23,9,294,2781,23,1.0,0.0,255,1.0,0.0,4
40116,23,9,222,4859,7,1.0,0.0,255,1.0,0.0,4
17662,23,9,224,5260,11,1.0,0.0,255,1.0,0.0,4
70762,23,9,315,308,22,1.0,0.0,255,1.0,0.0,4
50821,12,9,44,44,123,0.99,0.02,254,1.0,0.01,4
120301,23,9,298,1630,16,1.0,0.0,255,1.0,0.0,4
24038,18,9,8,138,1,1.0,0.0,12,0.05,0.03,4
15497,57,9,105,2138,1,1.0,0.0,1,0.02,0.11,4
65802,12,9,37,90,1,1.0,0.0,44,0.42,0.04,4
47398,14,9,30,0,5,0.2,0.4,5,0.02,0.01,4
45663,23,9,200,237,2,1.0,0.0,255,1.0,0.0,4
34358,12,9,29,89,1,1.0,0.0,249,0.98,0.01,4
113978,23,9,215,1680,9,1.0,0.0,255,1.0,0.0,4
39529,57,9,106,3211,1,1.0,0.0,2,0.01,0.03,4
40221,23,9,249,8985,21,1.0,0.0,255,1.0,0.0,4
95773,12,9,45,75,219,1.0,0.01,240,0.94,0.02,4
62339,23,9,370,302,10,1.0,0.0,255,1.0,0.0,4
38009,51,9,1701,333,1,1.0,0.0,154,0.79,0.08,4
71872,23,9,244,5214,2,1.0,0.0,255,1.0,0.0,4
70108,23,9,284,189,4,1.0,0.0,255,1.0,0.0,4
15877,23,9,201,468,1,1.0,0.0,255,1.0,0.0,4
51044,23,9,232,968,5,1.0,0.0,255,1.0,0.0,4
72901,23,9,159,10056,10,1.0,0.0,255,1.0,0.0,4
73625,23,9,218,361,27,1.0,0.0,255,1.0,0.0,4
57670,23,9,367,16618,1,1.0,0.0,255,1.0,0.0,4
33117,23,9,227,6265,5,1.0,0.0,255,1.0,0.0,4
86207,23,9,215,1722,14,1.0,0.0,255,1.0,0.0,4
90244,20,9,59,0,6,1.0,0.0,72,0.28,0.03,4
9395,57,9,204,30066,1,1.0,0.0,3,1.0,0.0,4
88925,23,9,204,12446,3,1.0,0.0,255,1.0,0.0,4
51460,23,9,206,28502,1,1.0,0.0,255,1.0,0.0,4
70926,47,9,105,146,5,0.2,0.4,242,0.95,0.01,4
60018,51,9,827,333,1,1.0,0.0,220,1.0,0.0,4
9328,12,9,44,44,133,1.0,0.0,228,0.89,0.01,4
79259,20,9,95,0,1,1.0,0.0,82,0.78,0.22,4
93887,23,9,416,327,2,1.0,0.0,255,1.0,0.0,4
33135,23,9,299,1404,16,1.0,0.0,255,1.0,0.0,4
36328,23,9,199,392,35,1.0,0.0,255,1.0,0.0,4
57630,20,9,245,0,2,1.0,0.0,2,0.01,0.69,4
113427,23,9,255,26985,1,1.0,0.0,241,0.95,0.02,4
977,57,9,334,10686,1,1.0,0.0,65,0.25,0.02,4
83633,23,9,152,9551,5,1.0,0.0,255,1.0,0.0,4
30831,12,9,45,130,79,1.0,0.0,135,0.53,0.02,4
35849,23,9,203,269,15,1.0,0.0,255,1.0,0.0,4
62545,23,9,197,315,7,1.0,0.0,255,1.0,0.0,4
20791,23,9,329,2576,6,1.0,0.0,255,1.0,0.0,4
8279,23,9,290,2860,5,1.0,0.0,255,1.0,0.0,4
103665,51,9,1652,392,1,1.0,0.0,207,1.0,0.0,4
97231,51,9,2168,402,1,1.0,0.0,14,0.05,0.02,4
94203,23,9,267,1938,7,1.0,0.0,255,1.0,0.0,4
117372,23,9,299,1404,19,1.0,0.0,255,1.0,0.0,4
68396,23,9,310,263,34,1.0,0.0,255,1.0,0.0,4
59466,23,9,233,598,28,1.0,0.0,255,1.0,0.0,4
428,57,9,105,1401,1,1.0,0.0,1,0.01,0.07,4
32320,51,9,1045,482,1,1.0,0.0,40,0.16,0.02,4
85912,23,9,170,25114,1,1.0,0.0,255,1.0,0.0,4
44380,20,9,74,0,1,1.0,0.0,46,0.14,0.05,4
49873,23,9,229,1007,8,1.0,0.0,255,1.0,0.0,4
64517,12,9,44,119,110,1.0,0.0,255,1.0,0.0,4
74711,42,9,145,105,1,1.0,0.0,1,0.0,0.46,4
29852,23,9,301,304,4,1.0,0.0,255,1.0,0.0,4
88123,19,9,248,774,1,1.0,0.0,60,0.24,0.02,4
77081,23,5,0,0,2,1.0,0.0,255,1.0,0.0,4
124566,20,9,383,0,2,1.0,0.0,41,0.18,0.03,4
119483,23,9,281,762,2,1.0,0.0,255,1.0,0.0,4
54284,23,9,281,8818,5,1.0,0.0,255,1.0,0.0,4
45776,51,9,1075,336,1,1.0,0.0,226,0.94,0.12,4
111111,12,9,30,34,1,1.0,0.0,231,0.91,0.01,4
23499,23,9,306,595,1,1.0,0.0,255,1.0,0.0,4
49680,23,9,349,5208,13,1.0,0.0,235,1.0,0.0,4
34623,23,9,237,454,10,1.0,0.0,255,1.0,0.0,4
88844,23,9,214,5498,7,1.0,0.0,255,1.0,0.0,4
90200,57,9,206,31509,1,1.0,0.0,3,1.0,0.0,4
1765,51,9,1334,336,1,1.0,0.0,176,0.71,0.06,4
78652,42,9,965,0,12,0.08,0.58,1,0.01,0.05,4
61793,23,9,290,2920,26,1.0,0.0,255,1.0,0.0,4
35077,23,1,0,0,1,1.0,0.0,255,1.0,0.0,4
38811,47,9,105,147,1,1.0,0.0,165,0.99,0.01,4
112290,12,9,33,0,1,1.0,0.0,45,0.18,0.03,4
85265,12,9,44,144,158,1.0,0.0,255,1.0,0.0,4
85247,23,9,243,929,13,1.0,0.0,255,1.0,0.0,4
46105,23,9,348,5599,5,1.0,0.0,255,1.0,0.0,4
120381,19,9,1466,4152,1,1.0,0.0,19,0.21,0.04,4
41620,23,9,289,2441,2,1.0,0.0,2,1.0,0.0,4
107288,23,9,270,1434,4,1.0,0.0,255,1.0,0.0,4
67522,23,9,292,12689,25,1.0,0.0,255,1.0,0.0,4
81612,51,9,882,336,1,1.0,0.0,111,0.34,0.03,4
85311,42,9,146,105,1,1.0,0.0,1,0.0,0.65,4
75697,23,9,244,274,12,1.0,0.0,255,1.0,0.0,4
65413,23,9,342,1148,8,1.0,0.0,255,1.0,0.0,4
107508,23,9,221,4624,13,1.0,0.0,255,1.0,0.0,4
123364,23,9,214,1124,11,1.0,0.0,255,1.0,0.0,4
64595,23,9,262,220,1,1.0,0.0,255,1.0,0.0,4
123474,23,9,332,2818,17,1.0,0.0,255,1.0,0.0,4
7007,51,9,125,236,1,1.0,0.0,88,0.29,0.7,4
96519,23,9,201,841,6,1.0,0.0,255,1.0,0.0,4
62654,23,9,249,14113,4,1.0,0.0,255,1.0,0.0,4
110384,23,9,265,279,4,1.0,0.0,241,0.95,0.02,4
1315,51,9,1193,333,1,1.0,0.0,39,0.97,0.05,4
5602,23,9,378,2488,6,1.0,0.0,255,1.0,0.0,4
111129,23,9,309,1425,11,1.0,0.0,255,1.0,0.0,4
12221,12,9,44,128,65,1.0,0.0,254,1.0,0.01,4
77467,23,9,209,1385,1,1.0,0.0,27,1.0,0.0,4
102922,12,9,46,75,251,1.0,0.01,254,1.0,0.01,4
104070,23,9,325,412,2,1.0,0.0,255,1.0,0.0,4
95903,23,5,0,0,2,1.0,0.0,254,1.0,0.0,4
47035,23,9,269,686,24,1.0,0.0,255,1.0,0.0,4
